Precinct,Race,Candidate,Total Votes,Vote Percentage
1001,District 1,Mario Bravo,63.0,56.25
1001,District 1,Roberto C. Treviño,49.0,43.75
1003,District 5,Teri Castillo,133.0,69.27
1003,District 5,Rudy Lopez,59.0,30.73
1004,District 3,Tomas Uresti,18.0,22.22
1004,District 3,Phyllis Viagran,63.0,77.78
1005,District 5,Teri Castillo,34.0,61.82
1005,District 5,Rudy Lopez,21.0,38.18
1006,District 5,Teri Castillo,92.0,55.09
1006,District 5,Rudy Lopez,75.0,44.91
1007,District 5,Teri Castillo,72.0,51.8
1007,District 5,Rudy Lopez,67.0,48.2
1008,District 1,Mario Bravo,156.0,50.16
1008,District 1,Roberto C. Treviño,155.0,49.84
1010,District 5,Teri Castillo,60.0,75.95
1010,District 5,Rudy Lopez,19.0,24.05
1011,District 3,Tomas Uresti,14.0,48.28
1011,District 3,Phyllis Viagran,15.0,51.72
1013,District 5,Teri Castillo,159.0,63.86
1013,District 5,Rudy Lopez,90.0,36.14
1014,District 5,Teri Castillo,53.0,67.95
1014,District 5,Rudy Lopez,25.0,32.05
1015,District 5,Teri Castillo,36.0,63.16
1015,District 5,Rudy Lopez,21.0,36.84
1016,District 3,Tomas Uresti,26.0,44.83
1016,District 3,Phyllis Viagran,32.0,55.17
1017,District 3,Tomas Uresti,5.0,33.33
1017,District 3,Phyllis Viagran,10.0,66.67
1018,District 3,Tomas Uresti,59.0,42.45
1018,District 3,Phyllis Viagran,80.0,57.55
1019,District 3,Tomas Uresti,29.0,42.65
1019,District 3,Phyllis Viagran,39.0,57.35
1020,District 3,Tomas Uresti,67.0,39.88
1020,District 3,Phyllis Viagran,101.0,60.12
1021,District 3,Tomas Uresti,32.0,35.96
1021,District 3,Phyllis Viagran,57.0,64.04
1023,District 5,Teri Castillo,76.0,62.3
1023,District 5,Rudy Lopez,46.0,37.7
1025,District 5,Teri Castillo,10.0,55.56
1025,District 5,Rudy Lopez,8.0,44.44
1026,District 5,Teri Castillo,43.0,59.72
1026,District 5,Rudy Lopez,29.0,40.28
1028,District 5,Teri Castillo,25.0,40.98
1028,District 5,Rudy Lopez,36.0,59.02
1029,District 5,Teri Castillo,77.0,40.31
1029,District 5,Rudy Lopez,114.0,59.69
1031,District 5,Teri Castillo,42.0,28.38
1031,District 5,Rudy Lopez,106.0,71.62
1032,District 5,Teri Castillo,82.0,55.41
1032,District 5,Rudy Lopez,66.0,44.59
1047,District 3,Tomas Uresti,45.0,56.25
1047,District 3,Phyllis Viagran,35.0,43.75
1048,District 3,Tomas Uresti,87.0,61.7
1048,District 3,Phyllis Viagran,54.0,38.3
1049,District 3,Tomas Uresti,63.0,44.68
1049,District 3,Phyllis Viagran,78.0,55.32
1050,District 3,Tomas Uresti,42.0,42.42
1050,District 3,Phyllis Viagran,57.0,57.58
1051,District 3,Tomas Uresti,94.0,59.49
1051,District 3,Phyllis Viagran,64.0,40.51
1052,District 3,Tomas Uresti,54.0,39.13
1052,District 3,Phyllis Viagran,84.0,60.87
1053,District 3,Tomas Uresti,9.0,45.0
1053,District 3,Phyllis Viagran,11.0,55.0
1054,District 3,Tomas Uresti,108.0,48.87
1054,District 3,Phyllis Viagran,113.0,51.13
1056,District 3,Tomas Uresti,62.0,38.04
1056,District 3,Phyllis Viagran,101.0,61.96
1057,District 3,Tomas Uresti 0 0,,
1057,District 3,Phyllis Viagran 0 0,,
1058,District 3,Tomas Uresti,2.0,40.0
1058,District 3,Phyllis Viagran,3.0,60.0
1059,District 3,Tomas Uresti,2.0,25.0
1059,District 3,Phyllis Viagran,6.0,75.0
1074,District 5,Teri Castillo 0 0,,
1074,District 5,Rudy Lopez 0 0,,
1077,District 5,Teri Castillo,125.0,60.68
1077,District 5,Rudy Lopez,81.0,39.32
1078,District 5,Teri Castillo,32.0,69.57
1078,District 5,Rudy Lopez,14.0,30.43
1088,District 5,Teri Castillo,58.0,69.88
1088,District 5,Rudy Lopez,25.0,30.12
1089,District 3,Tomas Uresti,28.0,40.0
1089,District 3,Phyllis Viagran,42.0,60.0
1091,District 3,Tomas Uresti,49.0,36.03
1091,District 3,Phyllis Viagran,87.0,63.97
1097,District 5,Teri Castillo,28.0,53.85
1097,District 5,Rudy Lopez,24.0,46.15
1098,District 5,Teri Castillo,63.0,77.78
1098,District 5,Rudy Lopez,18.0,22.22
1102,District 3,Tomas Uresti,3.0,100.0
1102,District 3,Phyllis Viagran,0.0,0.0
1117,District 3,Tomas Uresti,11.0,44.0
1117,District 3,Phyllis Viagran,14.0,56.0
1119,District 5,Teri Castillo 0 0,,
1119,District 5,Rudy Lopez 0 0,,
1120,District 5,Teri Castillo,4.0,50.0
1120,District 5,Rudy Lopez,4.0,50.0
1124,District 3,Tomas Uresti,0.0,0.0
1124,District 3,Phyllis Viagran,2.0,100.0
1126,District 2,Jada Andrews-Sullivan 0 0,,
1126,District 2,Jalen McKee-Rodriguez 0 0,,
1127,District 3,Tomas Uresti,6.0,14.63
1127,District 3,Phyllis Viagran,35.0,85.37
2001,District 5,Teri Castillo,44.0,77.19
2001,District 5,Rudy Lopez,13.0,22.81
2002,District 5,Teri Castillo,49.0,46.23
2002,District 5,Rudy Lopez,57.0,53.77
2003,District 1,Mario Bravo,63.0,60.0
2003,District 1,Roberto C. Treviño,42.0,40.0
2004,District 1,Mario Bravo,75.0,56.39
2004,District 1,Roberto C. Treviño,58.0,43.61
2006,District 1,Mario Bravo,1.0,100.0
2006,District 1,Roberto C. Treviño,0.0,0.0
2007,District 5,Teri Castillo,67.0,57.76
2007,District 5,Rudy Lopez,49.0,42.24
2008,District 5,Teri Castillo,32.0,40.0
2008,District 5,Rudy Lopez,48.0,60.0
2010,District 1,Mario Bravo,102.0,72.34
2010,District 1,Roberto C. Treviño,39.0,27.66
2011,District 5,Teri Castillo,98.0,56.32
2011,District 5,Rudy Lopez,76.0,43.68
2012,District 5,Teri Castillo,79.0,73.15
2012,District 5,Rudy Lopez,29.0,26.85
2015,District 5,Teri Castillo,63.0,64.95
2015,District 5,Rudy Lopez,34.0,35.05
2016,District 5,Teri Castillo,23.0,62.16
2016,District 5,Rudy Lopez,14.0,37.84
2017,District 5,Teri Castillo,28.0,60.87
2017,District 5,Rudy Lopez,18.0,39.13
2018,District 5,Teri Castillo,90.0,56.6
2018,District 5,Rudy Lopez,69.0,43.4
2021,District 5,Teri Castillo,95.0,66.9
2021,District 5,Rudy Lopez,47.0,33.1
2022,District 5,Teri Castillo,66.0,62.86
2022,District 5,Rudy Lopez,39.0,37.14
2029,District 5,Teri Castillo,43.0,44.33
2029,District 5,Rudy Lopez,54.0,55.67
2030,District 5,Teri Castillo,57.0,50.44
2030,District 5,Rudy Lopez,56.0,49.56
2031,District 5,Teri Castillo,48.0,45.71
2031,District 5,Rudy Lopez,57.0,54.29
2032,District 5,Teri Castillo,27.0,61.36
2032,District 5,Rudy Lopez,17.0,38.64
2033,District 5,Teri Castillo,18.0,48.65
2033,District 5,Rudy Lopez,19.0,51.35
2034,District 5,Teri Castillo,13.0,48.15
2034,District 5,Rudy Lopez,14.0,51.85
2035,District 1,Mario Bravo,106.0,37.19
2035,District 1,Roberto C. Treviño,179.0,62.81
2036,District 1,Mario Bravo,178.0,45.88
2036,District 1,Roberto C. Treviño,210.0,54.12
2038,District 1,Mario Bravo,81.0,38.57
2038,District 1,Roberto C. Treviño,129.0,61.43
2039,District 1,Mario Bravo,117.0,63.59
2039,District 1,Roberto C. Treviño,67.0,36.41
2048,District 1,Mario Bravo,47.0,46.53
2048,District 1,Roberto C. Treviño,54.0,53.47
2051,District 1,Mario Bravo,18.0,42.86
2051,District 1,Roberto C. Treviño,24.0,57.14
2052,District 1,Mario Bravo,31.0,50.0
2052,District 1,Roberto C. Treviño,31.0,50.0
2053,District 1,Mario Bravo,46.0,43.81
2053,District 1,Roberto C. Treviño,59.0,56.19
2054,District 1,Mario Bravo,124.0,45.26
2054,District 1,Roberto C. Treviño,150.0,54.74
2055,District 1,Mario Bravo,86.0,54.78
2055,District 1,Roberto C. Treviño,71.0,45.22
2056,District 1,Mario Bravo,77.0,53.47
2056,District 1,Roberto C. Treviño,67.0,46.53
2057,District 1,Mario Bravo,63.0,50.81
2057,District 1,Roberto C. Treviño,61.0,49.19
2058,District 1,Mario Bravo,89.0,55.97
