Precinct,Race,Candidate,Total Votes,Vote Percentage
1001,Mayor,J. Miller,1.0,0.44
1001,Mayor,Justin Macaluso,1.0,0.44
1001,Mayor,Gary Allen,1.0,0.44
1001,Mayor,Frank Adam Muniz,0.0,0.0
1001,Mayor,"Antonio ""Tony"" Diaz",1.0,0.44
1001,Mayor,Ron Nirenberg,197.0,87.17
1001,Mayor,"Michael ""Commander"" Idrogo",0.0,0.0
1001,Mayor,John M. Velasquez,0.0,0.0
1001,Mayor,Dan Martinez,0.0,0.0
1001,Mayor,Denise Gutierrez-Homer,1.0,0.44
1001,Mayor,Greg Brockhouse,23.0,10.18
1001,Mayor,Ray Basaldua,1.0,0.44
1001,Mayor,Joshua James Galvan,0.0,0.0
1001,Mayor,Tim Atwood,0.0,0.0
1001,District 1,Mario Bravo,81.0,39.32
1001,District 1,Roberto C. Treviño,93.0,45.15
1001,District 1,Cyndi Dóminguez,18.0,8.74
1001,District 1,Lauro A. Bustamante,8.0,3.88
1001,District 1,Raymond Zavala,5.0,2.43
1001,District 1,Matthew J. Gauna,1.0,0.49
1002,Mayor,J. Miller,0.0,0.0
1002,Mayor,Justin Macaluso,1.0,1.1
1002,Mayor,Gary Allen,1.0,1.1
1002,Mayor,Frank Adam Muniz,0.0,0.0
1002,Mayor,"Antonio ""Tony"" Diaz",0.0,0.0
1002,Mayor,Ron Nirenberg,59.0,64.84
1002,Mayor,"Michael ""Commander"" Idrogo",0.0,0.0
1002,Mayor,John M. Velasquez,1.0,1.1
1002,Mayor,Dan Martinez,0.0,0.0
1002,Mayor,Denise Gutierrez-Homer,0.0,0.0
1002,Mayor,Greg Brockhouse,27.0,29.67
1002,Mayor,Ray Basaldua,0.0,0.0
1002,Mayor,Joshua James Galvan,1.0,1.1
1002,Mayor,Tim Atwood,1.0,1.1
1002,District 4,Adriana Rocha Garcia,45.0,58.44
1002,District 4,Curtis Mueller,5.0,6.49
1002,District 4,David Tristán,20.0,25.97
1002,District 4,Raymond Guzman,7.0,9.09
1003,Mayor,J. Miller,1.0,0.29
1003,Mayor,Justin Macaluso,2.0,0.57
1003,Mayor,Gary Allen,1.0,0.29
1003,Mayor,Frank Adam Muniz,0.0,0.0
1003,Mayor,"Antonio ""Tony"" Diaz",2.0,0.57
1003,Mayor,Ron Nirenberg,276.0,79.31
1003,Mayor,"Michael ""Commander"" Idrogo",0.0,0.0
1003,Mayor,John M. Velasquez,2.0,0.57
1003,Mayor,Dan Martinez,1.0,0.29
1003,Mayor,Denise Gutierrez-Homer,2.0,0.57
1003,Mayor,Greg Brockhouse,58.0,16.67
1003,Mayor,Ray Basaldua,1.0,0.29
1003,Mayor,Joshua James Galvan,1.0,0.29
1003,Mayor,Tim Atwood,1.0,0.29
1003,District 5,Anthony Gres,20.0,6.31
1003,District 5,Jason Mata,6.0,1.89
1003,District 5,Ray Garza,6.0,1.89
1003,District 5,Irma G. Barron,18.0,5.68
1003,District 5,Teri Castillo,124.0,39.12
1003,District 5,David Yañez,10.0,3.15
1003,District 5,Marie Crabb,55.0,17.35
1003,District 5,Rudy Lopez,33.0,10.41
1003,District 5,"Norberto ""Geremy"" Landin",30.0,9.46
1003,District 5,Ricardo Moreno,12.0,3.79
1003,District 5,"Jesse ""Jay"" Alaniz",3.0,0.95
1004,Mayor,J. Miller,0.0,0.0
1004,Mayor,Justin Macaluso,1.0,0.69
1004,Mayor,Gary Allen,1.0,0.69
1004,Mayor,Frank Adam Muniz,2.0,1.38
1004,Mayor,"Antonio ""Tony"" Diaz",1.0,0.69
1004,Mayor,Ron Nirenberg,105.0,72.41
1004,Mayor,"Michael ""Commander"" Idrogo",1.0,0.69
1004,Mayor,John M. Velasquez,1.0,0.69
1004,Mayor,Dan Martinez,1.0,0.69
1004,Mayor,Denise Gutierrez-Homer,7.0,4.83
1004,Mayor,Greg Brockhouse,23.0,15.86
1004,Mayor,Ray Basaldua,1.0,0.69
1004,Mayor,Joshua James Galvan,0.0,0.0
1004,Mayor,Tim Atwood,1.0,0.69
1004,District 3,"Rodolfo ""Rudy"" Lopez",10.0,7.46
1004,District 3,"Mark Arthur Vargas, Jr.",11.0,8.21
1004,District 3,Rafael C. Vela,2.0,1.49
1004,District 3,Angela Cardona,14.0,10.45
1004,District 3,Walter Murray,7.0,5.22
1004,District 3,Ted Gonzalez,3.0,2.24
1004,District 3,Katherine Herrera Garza,4.0,2.99
1004,District 3,Tomas Uresti,14.0,10.45
1004,District 3,Phyllis Viagran,52.0,38.81
1004,District 3,"Stephen ""Steve"" Valdez",2.0,1.49
1004,District 3,Marcello Martinez,11.0,8.21
1004,District 3,Diana Flores Uriegas,4.0,2.99
1005,Mayor,J. Miller,0.0,0.0
1005,Mayor,Justin Macaluso,0.0,0.0
1005,Mayor,Gary Allen,0.0,0.0
1005,Mayor,Frank Adam Muniz,0.0,0.0
1005,Mayor,"Antonio ""Tony"" Diaz",2.0,1.79
1005,Mayor,Ron Nirenberg,87.0,77.68
1005,Mayor,"Michael ""Commander"" Idrogo",0.0,0.0
1005,Mayor,John M. Velasquez,3.0,2.68
1005,Mayor,Dan Martinez,0.0,0.0
1005,Mayor,Denise Gutierrez-Homer,3.0,2.68
1005,Mayor,Greg Brockhouse,16.0,14.29
1005,Mayor,Ray Basaldua,1.0,0.89
1005,Mayor,Joshua James Galvan,0.0,0.0
1005,Mayor,Tim Atwood,0.0,0.0
1005,District 5,Anthony Gres,4.0,4.0
1005,District 5,Jason Mata,0.0,0.0
1005,District 5,Ray Garza,3.0,3.0
1005,District 5,Irma G. Barron,7.0,7.0
1005,District 5,Teri Castillo,40.0,40.0
1005,District 5,David Yañez,1.0,1.0
1005,District 5,Marie Crabb,8.0,8.0
1005,District 5,Rudy Lopez,19.0,19.0
1005,District 5,"Norberto ""Geremy"" Landin",12.0,12.0
1005,District 5,Ricardo Moreno,1.0,1.0
1005,District 5,"Jesse ""Jay"" Alaniz",5.0,5.0
1006,Mayor,J. Miller,2.0,0.6
1006,Mayor,Justin Macaluso,2.0,0.6
1006,Mayor,Gary Allen,2.0,0.6
1006,Mayor,Frank Adam Muniz,1.0,0.3
1006,Mayor,"Antonio ""Tony"" Diaz",9.0,2.68
1006,Mayor,Ron Nirenberg,243.0,72.32
1006,Mayor,"Michael ""Commander"" Idrogo",1.0,0.3
1006,Mayor,John M. Velasquez,1.0,0.3
1006,Mayor,Dan Martinez,4.0,1.19
1006,Mayor,Denise Gutierrez-Homer,6.0,1.79
1006,Mayor,Greg Brockhouse,61.0,18.15
1006,Mayor,Ray Basaldua,3.0,0.89
1006,Mayor,Joshua James Galvan,0.0,0.0
1006,Mayor,Tim Atwood,1.0,0.3
1006,District 5,Anthony Gres,32.0,10.39
1006,District 5,Jason Mata,14.0,4.55
1006,District 5,Ray Garza,11.0,3.57
1006,District 5,Irma G. Barron,36.0,11.69
1006,District 5,Teri Castillo,91.0,29.55
1006,District 5,David Yañez,19.0,6.17
1006,District 5,Marie Crabb,21.0,6.82
1006,District 5,Rudy Lopez,34.0,11.04
1006,District 5,"Norberto ""Geremy"" Landin",18.0,5.84
1006,District 5,Ricardo Moreno,28.0,9.09
1006,District 5,"Jesse ""Jay"" Alaniz",4.0,1.3
1007,Mayor,J. Miller,0.0,0.0
1007,Mayor,Justin Macaluso,0.0,0.0
1007,Mayor,Gary Allen,0.0,0.0
1007,Mayor,Frank Adam Muniz,1.0,0.42
1007,Mayor,"Antonio ""Tony"" Diaz",5.0,2.08
1007,Mayor,Ron Nirenberg,188.0,78.33
1007,Mayor,"Michael ""Commander"" Idrogo",0.0,0.0
1007,Mayor,John M. Velasquez,1.0,0.42
1007,Mayor,Dan Martinez,1.0,0.42
