,Precinct,Race,Candidate,Total Votes,Vote Percentage
2,1001,Mayor,Ray Adam Basaldua,3,1.94
3,1001,Mayor,Christopher T. Schuchardt,7,4.52
4,1001,Mayor,Christopher Longoria,2,1.29
5,1001,Mayor,Ron Nirenberg,132,85.16
6,1001,Mayor,Armando Dominguez,1,0.65
7,1001,Mayor,Michael Idrogo,0,0.0
8,1001,Mayor,Gary Allen,1,0.65
9,1001,Mayor,Michael Samaniego,1,0.65
10,1001,Mayor,Diana Flores Uriegas,8,5.16
13,1001,District 1,Jeremy Roberts,12,8.0
14,1001,District 1,Roberto Rios Ortega,5,3.33
15,1001,District 1,Sukh Kaur,83,55.33
16,1001,District 1,Ernest Salinas,5,3.33
17,1001,District 1,Lauro Bustamante,4,2.67
18,1001,District 1,Mario Bravo,40,26.67
19,1001,District 1,William T. Lamar-Boone,1,0.67
22,1002,Mayor,Ray Adam Basaldua,1,1.25
23,1002,Mayor,Christopher T. Schuchardt,15,18.75
24,1002,Mayor,Christopher Longoria,0,0.0
25,1002,Mayor,Ron Nirenberg,44,55.0
26,1002,Mayor,Armando Dominguez,2,2.5
27,1002,Mayor,Michael Idrogo,1,1.25
28,1002,Mayor,Gary Allen,11,13.75
29,1002,Mayor,Michael Samaniego,1,1.25
30,1002,Mayor,Diana Flores Uriegas,5,6.25
33,1002,District 4,Adriana Rocha Garcia,50,72.46
34,1002,District 4,Gregorio De La Paz,19,27.54
37,1003,Mayor,Ray Adam Basaldua,1,0.3
38,1003,Mayor,Christopher T. Schuchardt,32,9.67
39,1003,Mayor,Christopher Longoria,5,1.51
40,1003,Mayor,Ron Nirenberg,257,77.64
41,1003,Mayor,Armando Dominguez,1,0.3
42,1003,Mayor,Michael Idrogo,1,0.3
43,1003,Mayor,Gary Allen,7,2.11
44,1003,Mayor,Michael Samaniego,10,3.02
45,1003,Mayor,Diana Flores Uriegas,17,5.14
48,1003,District 5,Arturo Espinosa,19,6.03
49,1003,District 5,Teri Castillo,228,72.38
50,1003,District 5,Rudy Lopez,68,21.59
53,1004,Mayor,Ray Adam Basaldua,2,1.94
54,1004,Mayor,Christopher T. Schuchardt,12,11.65
55,1004,Mayor,Christopher Longoria,2,1.94
56,1004,Mayor,Ron Nirenberg,78,75.73
57,1004,Mayor,Armando Dominguez,3,2.91
58,1004,Mayor,Michael Idrogo,0,0.0
59,1004,Mayor,Gary Allen,0,0.0
60,1004,Mayor,Michael Samaniego,2,1.94
61,1004,Mayor,Diana Flores Uriegas,4,3.88
64,1004,District 3,Jayden Muñoz,21,21.21
65,1004,District 3,Phyllis Viagran,55,55.56
66,1004,District 3,Erin Gallegos Reid,18,18.18
67,1004,District 3,Larry La Rose,5,5.05
70,1005,Mayor,Ray Adam Basaldua,1,1.14
71,1005,Mayor,Christopher T. Schuchardt,7,7.95
72,1005,Mayor,Christopher Longoria,2,2.27
73,1005,Mayor,Ron Nirenberg,63,71.59
74,1005,Mayor,Armando Dominguez,0,0.0
75,1005,Mayor,Michael Idrogo,0,0.0
76,1005,Mayor,Gary Allen,2,2.27
77,1005,Mayor,Michael Samaniego,3,3.41
78,1005,Mayor,Diana Flores Uriegas,10,11.36
81,1005,District 5,Arturo Espinosa,5,5.81
