Precinct,Race,Candidate,Total Votes,Vote Percentage
1001,Mayor,Ray Adam Basaldua,3,1.94
1001,Mayor,Christopher T. Schuchardt,7,4.52
1001,Mayor,Christopher Longoria,2,1.29
1001,Mayor,Ron Nirenberg (i),132,85.16
1001,Mayor,Armando Dominguez,1,0.65
1001,Mayor,Michael Idrogo,0,0
1001,Mayor,Gary Allen,1,0.65
1001,Mayor,Michael Samaniego,1,0.65
1001,Mayor,Diana Flores Uriegas,8,5.16
1001,District 1,Jeremy Roberts,12,8
1001,District 1,Roberto Rios Ortega,5,3.33
1001,District 1,Sukh Kaur,83,55.33
1001,District 1,Ernest Salinas,5,3.33
1001,District 1,Lauro Bustamante,4,2.67
1001,District 1,Mario Bravo (i),40,26.67
1001,District 1,William T. Lamar-Boone,1,0.67
1002,Mayor,Ray Adam Basaldua,1,1.25
1002,Mayor,Christopher T. Schuchardt,15,18.75
1002,Mayor,Christopher Longoria,0,0
1002,Mayor,Ron Nirenberg (i),44,55
1002,Mayor,Armando Dominguez,2,2.5
1002,Mayor,Michael Idrogo,1,1.25
1002,Mayor,Gary Allen,11,13.75
1002,Mayor,Michael Samaniego,1,1.25
1002,Mayor,Diana Flores Uriegas,5,6.25
1002,District 4,Adriana Rocha Garcia (i),50,72.46
1002,District 4,Gregorio De La Paz,19,27.54
1003,Mayor,Ray Adam Basaldua,1,0.3
1003,Mayor,Christopher T. Schuchardt,32,9.67
1003,Mayor,Christopher Longoria,5,1.51
1003,Mayor,Ron Nirenberg (i),257,77.64
1003,Mayor,Armando Dominguez,1,0.3
1003,Mayor,Michael Idrogo,1,0.3
1003,Mayor,Gary Allen,7,2.11
1003,Mayor,Michael Samaniego,10,3.02
1003,Mayor,Diana Flores Uriegas,17,5.14
1003,District 5,Arturo Espinosa,19,6.03
1003,District 5,Teri Castillo (i),228,72.38
1003,District 5,Rudy Lopez,68,21.59
1004,Mayor,Ray Adam Basaldua,2,1.94
1004,Mayor,Christopher T. Schuchardt,12,11.65
1004,Mayor,Christopher Longoria,2,1.94
1004,Mayor,Ron Nirenberg (i),78,75.73
1004,Mayor,Armando Dominguez,3,2.91
1004,Mayor,Michael Idrogo,0,0
1004,Mayor,Gary Allen,0,0
1004,Mayor,Michael Samaniego,2,1.94
1004,Mayor,Diana Flores Uriegas,4,3.88
1004,District 3,Jayden Muñoz,21,21.21
1004,District 3,Phyllis Viagran,55,55.56
1004,District 3,Erin Gallegos Reid,18,18.18
1004,District 3,Larry La Rose,5,5.05
1005,Mayor,Ray Adam Basaldua,1,1.14
1005,Mayor,Christopher T. Schuchardt,7,7.95
1005,Mayor,Christopher Longoria,2,2.27
1005,Mayor,Ron Nirenberg (i),63,71.59
1005,Mayor,Armando Dominguez,0,0
1005,Mayor,Michael Idrogo,0,0
1005,Mayor,Gary Allen,2,2.27
1005,Mayor,Michael Samaniego,3,3.41
1005,Mayor,Diana Flores Uriegas,10,11.36
1005,District 5,Arturo Espinosa,5,5.81
1005,District 5,Teri Castillo (i),59,68.6
1005,District 5,Rudy Lopez,22,25.58
1006,Mayor,Ray Adam Basaldua,5,2.05
1006,Mayor,Christopher T. Schuchardt,30,12.3
1006,Mayor,Christopher Longoria,8,3.28
1006,Mayor,Ron Nirenberg (i),174,71.31
1006,Mayor,Armando Dominguez,5,2.05
1006,Mayor,Michael Idrogo,2,0.82
1006,Mayor,Gary Allen,9,3.69
1006,Mayor,Michael Samaniego,4,1.64
1006,Mayor,Diana Flores Uriegas,7,2.87
1006,District 5,Arturo Espinosa,19,8.12
1006,District 5,Teri Castillo (i),138,58.97
1006,District 5,Rudy Lopez,77,32.91
1007,Mayor,Ray Adam Basaldua,2,1.2
1007,Mayor,Christopher T. Schuchardt,19,11.38
1007,Mayor,Christopher Longoria,5,2.99
1007,Mayor,Ron Nirenberg (i),120,71.86
1007,Mayor,Armando Dominguez,0,0
1007,Mayor,Michael Idrogo,3,1.8
1007,Mayor,Gary Allen,6,3.59
1007,Mayor,Michael Samaniego,5,2.99
1007,Mayor,Diana Flores Uriegas,7,4.19
1007,District 5,Arturo Espinosa,11,6.75
1007,District 5,Teri Castillo (i),82,50.31
1007,District 5,Rudy Lopez,70,42.94
1008,Mayor,Ray Adam Basaldua,1,0.21
1008,Mayor,Christopher T. Schuchardt,31,6.49
1008,Mayor,Christopher Longoria,9,1.88
1008,Mayor,Ron Nirenberg (i),393,82.22
1008,Mayor,Armando Dominguez,2,0.42
1008,Mayor,Michael Idrogo,2,0.42
1008,Mayor,Gary Allen,11,2.3
1008,Mayor,Michael Samaniego,5,1.05
1008,Mayor,Diana Flores Uriegas,24,5.02
1008,District 1,Jeremy Roberts,56,12.1
1008,District 1,Roberto Rios Ortega,18,3.89
1008,District 1,Sukh Kaur,198,42.76
1008,District 1,Ernest Salinas,15,3.24
1008,District 1,Lauro Bustamante,11,2.38
1008,District 1,Mario Bravo (i),161,34.77
1008,District 1,William T. Lamar-Boone,4,0.86
1010,Mayor,Ray Adam Basaldua,1,0.78
1010,Mayor,Christopher T. Schuchardt,7,5.47
1010,Mayor,Christopher Longoria,4,3.12
1010,Mayor,Ron Nirenberg (i),100,78.12
1010,Mayor,Armando Dominguez,1,0.78
1010,Mayor,Michael Idrogo,1,0.78
1010,Mayor,Gary Allen,4,3.12
1010,Mayor,Michael Samaniego,3,2.34
1010,Mayor,Diana Flores Uriegas,7,5.47
1010,District 5,Arturo Espinosa,4,3.12
1010,District 5,Teri Castillo (i),105,82.03
1010,District 5,Rudy Lopez,19,14.84
1011,Mayor,Ray Adam Basaldua,2,1.83
1011,Mayor,Christopher T. Schuchardt,13,11.93
1011,Mayor,Christopher Longoria,6,5.5
1011,Mayor,Ron Nirenberg (i),77,70.64
1011,Mayor,Armando Dominguez,1,0.92
1011,Mayor,Michael Idrogo,1,0.92
1011,Mayor,Gary Allen,1,0.92
1011,Mayor,Michael Samaniego,3,2.75
1011,Mayor,Diana Flores Uriegas,5,4.59
1011,District 3,Jayden Muñoz,18,17.14
1011,District 3,Phyllis Viagran,60,57.14
1011,District 3,Erin Gallegos Reid,14,13.33
1011,District 3,Larry La Rose,13,12.38
1012,Mayor,Ray Adam Basaldua,8,3.85
1012,Mayor,Christopher T. Schuchardt,35,16.83
1012,Mayor,Christopher Longoria,9,4.33
1012,Mayor,Ron Nirenberg (i),114,54.81
1012,Mayor,Armando Dominguez,4,1.92
1012,Mayor,Michael Idrogo,2,0.96
1012,Mayor,Gary Allen,20,9.62
1012,Mayor,Michael Samaniego,7,3.37
1012,Mayor,Diana Flores Uriegas,9,4.33
1012,District 4,Adriana Rocha Garcia (i),126,72.41
1012,District 4,Gregorio De La Paz,48,27.59
1013,Mayor,Ray Adam Basaldua,6,2.08
1013,Mayor,Christopher T. Schuchardt,25,8.65
1013,Mayor,Christopher Longoria,8,2.77
1013,Mayor,Ron Nirenberg (i),218,75.43
1013,Mayor,Armando Dominguez,2,0.69
1013,Mayor,Michael Idrogo,1,0.35
1013,Mayor,Gary Allen,10,3.46
1013,Mayor,Michael Samaniego,5,1.73
1013,Mayor,Diana Flores Uriegas,14,4.84
1013,District 5,Arturo Espinosa,11,3.86
1013,District 5,Teri Castillo (i),167,58.6
1013,District 5,Rudy Lopez,107,37.54
1014,Mayor,Ray Adam Basaldua,2,2.33
