Precinct,Registered Voters,Ballots Cast,Voter Turnout (%)
1001,775,143,29.16%
1002,665,53,13.98%
1003,"2,155",237,16.71%
1004,"1,001",69,15.18%
1005,831,62,13.72%
1006,"2,115",193,16.22%
1007,"1,258",139,19.32%
1008,"1,818",340,29.48%
1010,635,81,22.52%
1011,557,50,14.72%
1012,"2,195",139,12.44%
1013,"2,431",241,16.29%
1014,"1,402",89,11.41%
1015,"1,441",80,10.27%
1016,"1,211",72,10.16%
1017,240,35,19.17%
1018,"2,400",165,12.88%
1019,891,67,12.35%
1020,"2,350",225,17.15%
1021,"1,687",85,11.74%
1022,956,56,10.56%
1023,"2,600",118,9.65%
1024,"3,111",293,14.14%
1025,732,32,7.10%
1026,"1,316",60,9.95%
1028,971,64,12.98%
1029,"1,903",169,14.98%
1030,96,4,5.21%
1031,"1,508",102,13.33%
1032,"2,451",140,11.46%
1033,"2,146",137,9.18%
1036,"3,547",338,14.01%
1037,"2,489",165,11.37%
1038,"3,286",252,12.75%
1039,"3,240",122,6.88%
1040,"2,739",140,9.89%
1041,"2,345",122,8.70%
1042,"1,169",83,11.38%
1043,"1,577",124,13.06%
1044,"2,077",186,14.06%
1045,"3,300",249,12.73%
1046,"2,067",136,11.76%
1047,"1,752",86,11.59%
1048,"2,243",139,13.29%
1049,"2,577",176,12.96%
1050,"1,375",105,15.49%
1051,"2,069",168,14.93%
1052,"2,085",183,14.63%
1053,258,25,17.44%
1054,"2,598",219,17.05%
1055,"1,972",236,20.99%
1056,"3,405",270,13.63%
1057,55,2,10.91%
1058,126,14,15.08%
1059,474,20,8.23%
1060,"2,954",168,9.61%
1061,"2,773",114,7.21%
1062,186,11,10.22%
1063,28,6,21.43%
1065,"1,055",96,13.84%
1069,480,83,30.21%
1070,"1,126",53,10.04%
1071,"1,983",130,12.30%
1072,"1,985",208,14.06%
1074,20,3,15.00%
1075,"2,408",122,9.01%
1076,"2,884",233,12.86%
1077,"1,640",227,20.85%
