Precinct,Registered Voters,Ballots Cast,Ballots Cast - Blank,Voter Turnout (%)
1001,518,157,0,30.31%
1002,671,92,0,13.71%
1003,"2,174",340,0,15.64%
1004,"1,032",106,0,10.27%
1005,829,90,0,10.86%
1006,"2,106",249,0,11.82%
1007,"1,242",171,0,13.77%
1008,"1,750",497,0,28.40%
1009,"1,856",105,3,5.66%
1010,651,134,0,20.58%
1011,"1,116",113,0,10.13%
1012,"2,191",215,0,9.81%
1013,"2,378",299,0,12.57%
1014,"1,379",89,0,6.45%
1015,"1,385",109,0,7.87%
1016,"1,196",90,0,7.53%
1017,261,41,0,15.71%
1018,934,99,0,10.60%
1019,844,87,0,10.31%
1020,"1,733",258,0,14.89%
1021,"1,702",193,0,11.34%
1022,923,81,0,8.78%
1023,"2,530",186,0,7.35%
1024,"3,047",427,0,14.01%
1025,696,29,0,4.17%
1026,"1,266",73,0,5.77%
1028,729,82,0,11.25%
1029,"1,874",221,0,11.79%
1030,129,5,0,3.88%
1031,"1,521",144,0,9.47%
1032,"2,416",193,0,7.99%
1033,"2,130",178,0,8.36%
1034,"5,604",256,7,4.57%
1036,"3,521",447,0,12.70%
1037,"2,455",238,0,9.69%
1038,"3,596",387,1,10.76%
1039,"3,252",166,0,5.10%
1040,"2,714",192,0,7.07%
1041,"2,335",148,0,6.34%
1042,"1,151",108,0,9.38%
1043,"1,590",186,0,11.70%
1044,"2,045",214,0,10.46%
1045,"3,306",375,0,11.34%
1046,"2,063",176,0,8.53%
1047,"1,729",154,0,8.91%
1048,"2,269",260,0,11.46%
1049,"2,489",273,0,10.97%
1050,826,104,0,12.59%
1051,"2,060",287,0,13.93%
1052,"2,087",253,0,12.12%
1053,252,34,0,13.49%
1054,"2,657",327,0,12.31%
1055,"1,976",379,0,19.18%
1056,"3,986",434,0,10.89%
1057,51,4,0,7.84%
1058,128,14,0,10.94%
1059,486,30,0,6.17%
1060,"3,049",247,0,8.10%
1061,"2,813",164,0,5.83%
1062,269,27,0,10.04%
1063,27,4,0,14.81%
1064,678,149,0,21.98%
1068,"4,421",268,0,6.06%
1069,487,138,0,28.34%
1070,"1,152",109,0,9.46%
1071,"1,977",203,1,10.27%
1072,"2,031",221,0,10.88%
1073,"3,762",136,6,3.62%
1074,22,3,0,13.64%
1075,"2,491",178,0,7.15%
1076,"2,914",342,0,11.74%
1077,"1,634",189,0,11.57%
1078,521,54,0,10.36%
1079,"2,614",346,1,13.24%
1080,"2,988",174,0,5.82%
1081,"2,606",235,0,9.02%
1083,"2,728",460,0,16.86%
1084,"1,930",207,1,10.73%
1085,"1,718",170,0,9.90%
1086,"2,456",348,0,14.17%
1087,"1,656",169,0,10.21%
1088,949,85,0,8.96%
1089,46,10,0,21.74%
1090,0,0,0,0.00%
1091,"2,411",335,0,13.89%
1092,"1,648",132,0,8.01%
1093,"1,403",156,0,11.12%
1094,"3,220",256,0,7.95%
1096,173,13,0,7.51%
1097,851,82,0,9.64%
1098,"1,234",198,0,16.05%
1099,"2,840",477,0,16.80%
1100,"2,959",363,0,12.27%
1101,0,0,0,0.00%
1102,205,7,0,3.41%
1103,"1,560",62,0,3.97%
1104,"3,163",637,0,20.14%
1105,870,66,0,7.59%
1106,0,0,0,0.00%
1108,"1,839",93,2,5.06%
1109,3,1,0,33.33%
1110,"3,441",88,5,2.56%
1111,"3,416",571,0,16.72%
1112,"2,654",100,1,3.77%
1113,"3,005",420,0,13.98%
1114,316,23,0,7.28%
1115,"1,080",135,0,12.50%
1116,"1,465",55,1,3.75%
1117,345,48,0,13.91%
1118,"4,501",212,10,4.71%
1119,143,10,0,6.99%
