Precinct,Race,Candidate,Total Votes
1001 BS 1,"For Council, City of San Antonio, District 1",Vote,For
1001 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
1001 BS 1,"For Council, City of San Antonio, District 1",,Day
1001 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 63 56.25% 12,14
1001 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 49 43.75% 21,7
1003 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1003 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1003 BS 2,"For Council, City of San Antonio, District 5",,Day
1003 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 133 69.27% 45,16
1003 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 59 30.73% 19,10
1004 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1004 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1004 BS 3,"For Council, City of San Antonio, District 3",,Day
1004 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 18 22.22% 5,3
1004 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 63 77.78% 20,25
1005 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1005 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1005 BS 2,"For Council, City of San Antonio, District 5",,Day
1005 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 34 61.82% 10,8
1005 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 21 38.18% 11,6
1006 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1006 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1006 BS 2,"For Council, City of San Antonio, District 5",,Day
1006 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 92 55.09% 24,25
1006 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 75 44.91% 19,28
1007 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1007 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1007 BS 2,"For Council, City of San Antonio, District 5",,Day
1007 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 72 51.80% 24,10
1007 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 67 48.20% 13,19
1008 BS 1,"For Council, City of San Antonio, District 1",Vote,For
1008 BS 1,"For Council, City of San Antonio, District 1",TOTAL VOTE % Election,Absentee
1008 BS 1,"For Council, City of San Antonio, District 1",,Day
1008 BS 1,"For Council, City of San Antonio, District 1",Mario Bravo 156 50.16% 50,16
1008 BS 1,"For Council, City of San Antonio, District 1",Roberto C. Treviño 155 49.84% 49,23
1010 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1010 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1010 BS 2,"For Council, City of San Antonio, District 5",,Day
1010 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 60 75.95% 15,8
1010 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 19 24.05% 7,6
1011 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1011 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1011 BS 3,"For Council, City of San Antonio, District 3",,Day
1011 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 14 48.28% 1,6
1011 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 15 51.72% 2,10
1013 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1013 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1013 BS 2,"For Council, City of San Antonio, District 5",,Day
1013 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 159 63.86% 56,30
1013 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 90 36.14% 25,15
1014 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1014 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1014 BS 2,"For Council, City of San Antonio, District 5",,Day
1014 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 53 67.95% 13,18
1014 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 25 32.05% 8,13
1015 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1015 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1015 BS 2,"For Council, City of San Antonio, District 5",,Day
1015 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 36 63.16% 10,8
1015 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 21 36.84% 5,12
1016 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1016 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1016 BS 3,"For Council, City of San Antonio, District 3",,Day
1016 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 26 44.83% 11,5
1016 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 32 55.17% 12,8
1017 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1017 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1017 BS 3,"For Council, City of San Antonio, District 3",,Day
1017 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 5 33.33% 2,0
1017 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 10 66.67% 3,4
1018 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1018 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1018 BS 3,"For Council, City of San Antonio, District 3",,Day
1018 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 59 42.45% 23,10
1018 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 80 57.55% 18,26
1019 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1019 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1019 BS 3,"For Council, City of San Antonio, District 3",,Day
1019 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 29 42.65% 9,5
1019 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 39 57.35% 3,13
1020 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1020 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1020 BS 3,"For Council, City of San Antonio, District 3",,Day
1020 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 67 39.88% 24,14
1020 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 101 60.12% 34,15
1021 BS 3,"For Council, City of San Antonio, District 3",Vote,For
1021 BS 3,"For Council, City of San Antonio, District 3",TOTAL VOTE % Election,Absentee
1021 BS 3,"For Council, City of San Antonio, District 3",,Day
1021 BS 3,"For Council, City of San Antonio, District 3",Tomas Uresti 32 35.96% 17,5
1021 BS 3,"For Council, City of San Antonio, District 3",Phyllis Viagran 57 64.04% 17,18
1023 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1023 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1023 BS 2,"For Council, City of San Antonio, District 5",,Day
1023 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 76 62.30% 19,35
1023 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 46 37.70% 12,19
1025 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1025 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1025 BS 2,"For Council, City of San Antonio, District 5",,Day
1025 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 10 55.56% 4,2
1025 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 8 44.44% 2,3
1026 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1026 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1026 BS 2,"For Council, City of San Antonio, District 5",,Day
1026 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 43 59.72% 26,7
1026 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 29 40.28% 10,12
1028 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1028 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1028 BS 2,"For Council, City of San Antonio, District 5",,Day
1028 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 25 40.98% 6,9
1028 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 36 59.02% 8,11
1029 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1029 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1029 BS 2,"For Council, City of San Antonio, District 5",,Day
1029 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 77 40.31% 34,13
1029 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 114 59.69% 33,27
1031 BS 2,"For Council, City of San Antonio, District 5",Vote,For
1031 BS 2,"For Council, City of San Antonio, District 5",TOTAL VOTE % Election,Absentee
1031 BS 2,"For Council, City of San Antonio, District 5",,Day
1031 BS 2,"For Council, City of San Antonio, District 5",Teri Castillo 42 28.38% 8,7
1031 BS 2,"For Council, City of San Antonio, District 5",Rudy Lopez 106 71.62% 29,34
