,Precinct,Race,Candidate,Total Votes,Vote Percentage
1,1001 BS 1,District 1,TOTAL VOTE % Election,0,0.0
2,1001 BS 1,District 1,,0,0.0
3,1001 BS 1,District 1,Mario Bravo 63 56.25% 12,14,66.67
4,1001 BS 1,District 1,Roberto C. Treviño 49 43.75% 21,7,33.33
6,1003 BS 2,District 5,TOTAL VOTE % Election,0,0.0
7,1003 BS 2,District 5,,0,0.0
8,1003 BS 2,District 5,Teri Castillo 133 69.27% 45,16,61.54
9,1003 BS 2,District 5,Rudy Lopez 59 30.73% 19,10,38.46
11,1004 BS 3,District 3,TOTAL VOTE % Election,0,0.0
12,1004 BS 3,District 3,,0,0.0
13,1004 BS 3,District 3,Tomas Uresti 18 22.22% 5,3,10.71
14,1004 BS 3,District 3,Phyllis Viagran 63 77.78% 20,25,89.29
16,1005 BS 2,District 5,TOTAL VOTE % Election,0,0.0
17,1005 BS 2,District 5,,0,0.0
18,1005 BS 2,District 5,Teri Castillo 34 61.82% 10,8,57.14
19,1005 BS 2,District 5,Rudy Lopez 21 38.18% 11,6,42.86
21,1006 BS 2,District 5,TOTAL VOTE % Election,0,0.0
22,1006 BS 2,District 5,,0,0.0
23,1006 BS 2,District 5,Teri Castillo 92 55.09% 24,25,47.17
24,1006 BS 2,District 5,Rudy Lopez 75 44.91% 19,28,52.83
26,1007 BS 2,District 5,TOTAL VOTE % Election,0,0.0
27,1007 BS 2,District 5,,0,0.0
28,1007 BS 2,District 5,Teri Castillo 72 51.80% 24,10,34.48
29,1007 BS 2,District 5,Rudy Lopez 67 48.20% 13,19,65.52
31,1008 BS 1,District 1,TOTAL VOTE % Election,0,0.0
32,1008 BS 1,District 1,,0,0.0
33,1008 BS 1,District 1,Mario Bravo 156 50.16% 50,16,41.03
34,1008 BS 1,District 1,Roberto C. Treviño 155 49.84% 49,23,58.97
36,1010 BS 2,District 5,TOTAL VOTE % Election,0,0.0
37,1010 BS 2,District 5,,0,0.0
38,1010 BS 2,District 5,Teri Castillo 60 75.95% 15,8,57.14
39,1010 BS 2,District 5,Rudy Lopez 19 24.05% 7,6,42.86
41,1011 BS 3,District 3,TOTAL VOTE % Election,0,0.0
42,1011 BS 3,District 3,,0,0.0
43,1011 BS 3,District 3,Tomas Uresti 14 48.28% 1,6,37.5
44,1011 BS 3,District 3,Phyllis Viagran 15 51.72% 2,10,62.5
46,1013 BS 2,District 5,TOTAL VOTE % Election,0,0.0
47,1013 BS 2,District 5,,0,0.0
48,1013 BS 2,District 5,Teri Castillo 159 63.86% 56,30,66.67
49,1013 BS 2,District 5,Rudy Lopez 90 36.14% 25,15,33.33
51,1014 BS 2,District 5,TOTAL VOTE % Election,0,0.0
52,1014 BS 2,District 5,,0,0.0
53,1014 BS 2,District 5,Teri Castillo 53 67.95% 13,18,58.06
54,1014 BS 2,District 5,Rudy Lopez 25 32.05% 8,13,41.94
56,1015 BS 2,District 5,TOTAL VOTE % Election,0,0.0
57,1015 BS 2,District 5,,0,0.0
58,1015 BS 2,District 5,Teri Castillo 36 63.16% 10,8,40.0
59,1015 BS 2,District 5,Rudy Lopez 21 36.84% 5,12,60.0
61,1016 BS 3,District 3,TOTAL VOTE % Election,0,0.0
62,1016 BS 3,District 3,,0,0.0
63,1016 BS 3,District 3,Tomas Uresti 26 44.83% 11,5,38.46
64,1016 BS 3,District 3,Phyllis Viagran 32 55.17% 12,8,61.54
66,1017 BS 3,District 3,TOTAL VOTE % Election,0,0.0
67,1017 BS 3,District 3,,0,0.0
68,1017 BS 3,District 3,Tomas Uresti 5 33.33% 2,0,0.0
69,1017 BS 3,District 3,Phyllis Viagran 10 66.67% 3,4,100.0
71,1018 BS 3,District 3,TOTAL VOTE % Election,0,0.0
72,1018 BS 3,District 3,,0,0.0
73,1018 BS 3,District 3,Tomas Uresti 59 42.45% 23,10,27.78
74,1018 BS 3,District 3,Phyllis Viagran 80 57.55% 18,26,72.22
76,1019 BS 3,District 3,TOTAL VOTE % Election,0,0.0
77,1019 BS 3,District 3,,0,0.0
78,1019 BS 3,District 3,Tomas Uresti 29 42.65% 9,5,27.78
79,1019 BS 3,District 3,Phyllis Viagran 39 57.35% 3,13,72.22
81,1020 BS 3,District 3,TOTAL VOTE % Election,0,0.0
82,1020 BS 3,District 3,,0,0.0
83,1020 BS 3,District 3,Tomas Uresti 67 39.88% 24,14,48.28
84,1020 BS 3,District 3,Phyllis Viagran 101 60.12% 34,15,51.72
86,1021 BS 3,District 3,TOTAL VOTE % Election,0,0.0
87,1021 BS 3,District 3,,0,0.0
88,1021 BS 3,District 3,Tomas Uresti 32 35.96% 17,5,21.74
89,1021 BS 3,District 3,Phyllis Viagran 57 64.04% 17,18,78.26
91,1023 BS 2,District 5,TOTAL VOTE % Election,0,0.0
92,1023 BS 2,District 5,,0,0.0
93,1023 BS 2,District 5,Teri Castillo 76 62.30% 19,35,64.81
94,1023 BS 2,District 5,Rudy Lopez 46 37.70% 12,19,35.19
96,1025 BS 2,District 5,TOTAL VOTE % Election,0,0.0
97,1025 BS 2,District 5,,0,0.0
98,1025 BS 2,District 5,Teri Castillo 10 55.56% 4,2,40.0
99,1025 BS 2,District 5,Rudy Lopez 8 44.44% 2,3,60.0
101,1026 BS 2,District 5,TOTAL VOTE % Election,0,0.0
102,1026 BS 2,District 5,,0,0.0
103,1026 BS 2,District 5,Teri Castillo 43 59.72% 26,7,36.84
104,1026 BS 2,District 5,Rudy Lopez 29 40.28% 10,12,63.16
106,1028 BS 2,District 5,TOTAL VOTE % Election,0,0.0
107,1028 BS 2,District 5,,0,0.0
