Precinct,Race,Candidate,Total Votes
1001,"For Council, City of San Antonio, District 1",Vote,For
1001,"For Council, City of San Antonio, District 1",TOTAL,VOTE
1001,"For Council, City of San Antonio, District 1",Sukh Kaur,72
1001,"For Council, City of San Antonio, District 1",Mario Bravo,31
1008,"For Council, City of San Antonio, District 1",Vote,For
1008,"For Council, City of San Antonio, District 1",TOTAL,VOTE
1008,"For Council, City of San Antonio, District 1",Sukh Kaur,173
1008,"For Council, City of San Antonio, District 1",Mario Bravo,119
2004,"For Council, City of San Antonio, District 1",Vote,For
2004,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2004,"For Council, City of San Antonio, District 1",Sukh Kaur,81
2004,"For Council, City of San Antonio, District 1",Mario Bravo,25
2005,"For Council, City of San Antonio, District 7",Vote,For
2005,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2005,"For Council, City of San Antonio, District 7",Dan Rossiter,25
2005,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,57
2006,"For Council, City of San Antonio, District 1",Vote,For
2006,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2006,"For Council, City of San Antonio, District 1",Sukh Kaur,1
2006,"For Council, City of San Antonio, District 1",Mario Bravo,1
2010,"For Council, City of San Antonio, District 1",Vote,For
2010,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2010,"For Council, City of San Antonio, District 1",Sukh Kaur,70
2010,"For Council, City of San Antonio, District 1",Mario Bravo,66
2013,"For Council, City of San Antonio, District 7",Vote,For
2013,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2013,"For Council, City of San Antonio, District 7",Dan Rossiter,16
2013,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,53
2014,"For Council, City of San Antonio, District 7",Vote,For
2014,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2014,"For Council, City of San Antonio, District 7",Dan Rossiter,19
2014,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,58
2023,"For Council, City of San Antonio, District 7",Vote,For
2023,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2023,"For Council, City of San Antonio, District 7",Dan Rossiter,32
2023,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,105
2024,"For Council, City of San Antonio, District 7",Vote,For
2024,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2024,"For Council, City of San Antonio, District 7",Dan Rossiter,30
2024,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,64
2025,"For Council, City of San Antonio, District 7",Vote,For
2025,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2025,"For Council, City of San Antonio, District 7",Dan Rossiter,81
2025,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,141
2026,"For Council, City of San Antonio, District 7",Vote,For
2026,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2026,"For Council, City of San Antonio, District 7",Dan Rossiter,57
2026,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,108
2027,"For Council, City of San Antonio, District 7",Vote,For
2027,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2027,"For Council, City of San Antonio, District 7",Dan Rossiter,62
2027,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,126
2028,"For Council, City of San Antonio, District 7",Vote,For
2028,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2028,"For Council, City of San Antonio, District 7",Dan Rossiter,96
2028,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,169
2035,"For Council, City of San Antonio, District 1",Vote,For
2035,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2035,"For Council, City of San Antonio, District 1",Sukh Kaur,204
2035,"For Council, City of San Antonio, District 1",Mario Bravo,129
2036,"For Council, City of San Antonio, District 1",Vote,For
2036,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2036,"For Council, City of San Antonio, District 1",Sukh Kaur,284
2036,"For Council, City of San Antonio, District 1",Mario Bravo,148
2037,"For Council, City of San Antonio, District 7",Vote,For
2037,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2037,"For Council, City of San Antonio, District 7",Dan Rossiter,76
2037,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,82
2038,"For Council, City of San Antonio, District 1",Vote,For
2038,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2038,"For Council, City of San Antonio, District 1",Sukh Kaur,141
2038,"For Council, City of San Antonio, District 1",Mario Bravo,66
2039,"For Council, City of San Antonio, District 1",Vote,For
2039,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2039,"For Council, City of San Antonio, District 1",Sukh Kaur,109
2039,"For Council, City of San Antonio, District 1",Mario Bravo,87
2040,"For Council, City of San Antonio, District 7",Vote,For
2040,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2040,"For Council, City of San Antonio, District 7",Dan Rossiter,58
2040,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,109
2041,"For Council, City of San Antonio, District 7",Vote,For
2041,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2041,"For Council, City of San Antonio, District 7",Dan Rossiter,45
2041,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,99
2042,"For Council, City of San Antonio, District 7",Vote,For
2042,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2042,"For Council, City of San Antonio, District 7",Dan Rossiter,24
2042,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,40
2045,"For Council, City of San Antonio, District 7",Vote,For
2045,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2045,"For Council, City of San Antonio, District 7",Dan Rossiter,52
2045,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,161
2046,"For Council, City of San Antonio, District 7",Vote,For
2046,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2046,"For Council, City of San Antonio, District 7",Dan Rossiter,93
2046,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,207
2047,"For Council, City of San Antonio, District 7",Vote,For
2047,"For Council, City of San Antonio, District 7",TOTAL,VOTE
2047,"For Council, City of San Antonio, District 7",Dan Rossiter,54
2047,"For Council, City of San Antonio, District 7",Marina Alderete Gavito,133
2048,"For Council, City of San Antonio, District 1",Vote,For
2048,"For Council, City of San Antonio, District 1",TOTAL,VOTE
2048,"For Council, City of San Antonio, District 1",Sukh Kaur,46
