Precinct,Race,Candidate,Total Votes
1001,For Mayor City of San Antonio,Vote,For
1001,For Mayor City of San Antonio,TOTAL,VOTE
1001,For Mayor City of San Antonio,Ray Adam Basaldua,3
1001,For Mayor City of San Antonio,Christopher T. Schuchardt,7
1001,For Mayor City of San Antonio,Christopher Longoria,2
1001,For Mayor City of San Antonio,Ron Nirenberg,132
1001,For Mayor City of San Antonio,Armando Dominguez,1
1001,For Mayor City of San Antonio,Michael Idrogo,0
1001,For Mayor City of San Antonio,Gary Allen,1
1001,For Mayor City of San Antonio,Michael Samaniego,1
1001,For Mayor City of San Antonio,Diana Flores Uriegas,8
1001,"For Council, City of San Antonio, District 1",Vote,For
1001,"For Council, City of San Antonio, District 1",TOTAL,VOTE
1001,"For Council, City of San Antonio, District 1",Jeremy Roberts,12
1001,"For Council, City of San Antonio, District 1",Roberto Rios Ortega,5
1001,"For Council, City of San Antonio, District 1",Sukh Kaur,83
1001,"For Council, City of San Antonio, District 1",Ernest Salinas,5
1001,"For Council, City of San Antonio, District 1",Lauro Bustamante,4
1001,"For Council, City of San Antonio, District 1",Mario Bravo,40
1001,"For Council, City of San Antonio, District 1",William T. Lamar-Boone,1
1002,For Mayor City of San Antonio,Vote,For
1002,For Mayor City of San Antonio,TOTAL,VOTE
1002,For Mayor City of San Antonio,Ray Adam Basaldua,1
1002,For Mayor City of San Antonio,Christopher T. Schuchardt,15
1002,For Mayor City of San Antonio,Christopher Longoria,0
1002,For Mayor City of San Antonio,Ron Nirenberg,44
1002,For Mayor City of San Antonio,Armando Dominguez,2
1002,For Mayor City of San Antonio,Michael Idrogo,1
1002,For Mayor City of San Antonio,Gary Allen,11
1002,For Mayor City of San Antonio,Michael Samaniego,1
1002,For Mayor City of San Antonio,Diana Flores Uriegas,5
1002,"For Council, City of San Antonio, District 4",Vote,For
1002,"For Council, City of San Antonio, District 4",TOTAL,VOTE
1002,"For Council, City of San Antonio, District 4",Adriana Rocha Garcia,50
1002,"For Council, City of San Antonio, District 4",Gregorio De La Paz,19
1003,For Mayor City of San Antonio,Vote,For
1003,For Mayor City of San Antonio,TOTAL,VOTE
1003,For Mayor City of San Antonio,Ray Adam Basaldua,1
1003,For Mayor City of San Antonio,Christopher T. Schuchardt,32
1003,For Mayor City of San Antonio,Christopher Longoria,5
1003,For Mayor City of San Antonio,Ron Nirenberg,257
1003,For Mayor City of San Antonio,Armando Dominguez,1
1003,For Mayor City of San Antonio,Michael Idrogo,1
1003,For Mayor City of San Antonio,Gary Allen,7
1003,For Mayor City of San Antonio,Michael Samaniego,10
1003,For Mayor City of San Antonio,Diana Flores Uriegas,17
1003,"For Council, City of San Antonio, District 5",Vote,For
1003,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1003,"For Council, City of San Antonio, District 5",Arturo Espinosa,19
1003,"For Council, City of San Antonio, District 5",Teri Castillo,228
1003,"For Council, City of San Antonio, District 5",Rudy Lopez,68
1004,For Mayor City of San Antonio,Vote,For
1004,For Mayor City of San Antonio,TOTAL,VOTE
1004,For Mayor City of San Antonio,Ray Adam Basaldua,2
1004,For Mayor City of San Antonio,Christopher T. Schuchardt,12
1004,For Mayor City of San Antonio,Christopher Longoria,2
1004,For Mayor City of San Antonio,Ron Nirenberg,78
1004,For Mayor City of San Antonio,Armando Dominguez,3
1004,For Mayor City of San Antonio,Michael Idrogo,0
1004,For Mayor City of San Antonio,Gary Allen,0
1004,For Mayor City of San Antonio,Michael Samaniego,2
1004,For Mayor City of San Antonio,Diana Flores Uriegas,4
1004,"For Council, City of San Antonio, District 3",Vote,For
1004,"For Council, City of San Antonio, District 3",TOTAL,VOTE
1004,"For Council, City of San Antonio, District 3",Jayden Muñoz,21
1004,"For Council, City of San Antonio, District 3",Phyllis Viagran,55
1004,"For Council, City of San Antonio, District 3",Erin Gallegos Reid,18
1004,"For Council, City of San Antonio, District 3",Larry La Rose,5
1005,For Mayor City of San Antonio,Vote,For
1005,For Mayor City of San Antonio,TOTAL,VOTE
1005,For Mayor City of San Antonio,Ray Adam Basaldua,1
1005,For Mayor City of San Antonio,Christopher T. Schuchardt,7
1005,For Mayor City of San Antonio,Christopher Longoria,2
1005,For Mayor City of San Antonio,Ron Nirenberg,63
1005,For Mayor City of San Antonio,Armando Dominguez,0
1005,For Mayor City of San Antonio,Michael Idrogo,0
1005,For Mayor City of San Antonio,Gary Allen,2
1005,For Mayor City of San Antonio,Michael Samaniego,3
1005,For Mayor City of San Antonio,Diana Flores Uriegas,10
1005,"For Council, City of San Antonio, District 5",Vote,For
1005,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1005,"For Council, City of San Antonio, District 5",Arturo Espinosa,5
1005,"For Council, City of San Antonio, District 5",Teri Castillo,59
1005,"For Council, City of San Antonio, District 5",Rudy Lopez,22
1006,For Mayor City of San Antonio,Vote,For
1006,For Mayor City of San Antonio,TOTAL,VOTE
1006,For Mayor City of San Antonio,Ray Adam Basaldua,5
1006,For Mayor City of San Antonio,Christopher T. Schuchardt,30
1006,For Mayor City of San Antonio,Christopher Longoria,8
1006,For Mayor City of San Antonio,Ron Nirenberg,174
1006,For Mayor City of San Antonio,Armando Dominguez,5
1006,For Mayor City of San Antonio,Michael Idrogo,2
1006,For Mayor City of San Antonio,Gary Allen,9
1006,For Mayor City of San Antonio,Michael Samaniego,4
1006,For Mayor City of San Antonio,Diana Flores Uriegas,7
1006,"For Council, City of San Antonio, District 5",Vote,For
1006,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1006,"For Council, City of San Antonio, District 5",Arturo Espinosa,19
1006,"For Council, City of San Antonio, District 5",Teri Castillo,138
1006,"For Council, City of San Antonio, District 5",Rudy Lopez,77
1007,For Mayor City of San Antonio,Vote,For
1007,For Mayor City of San Antonio,TOTAL,VOTE
1007,For Mayor City of San Antonio,Ray Adam Basaldua,2
1007,For Mayor City of San Antonio,Christopher T. Schuchardt,19
1007,For Mayor City of San Antonio,Christopher Longoria,5
1007,For Mayor City of San Antonio,Ron Nirenberg,120
1007,For Mayor City of San Antonio,Armando Dominguez,0
1007,For Mayor City of San Antonio,Michael Idrogo,3
1007,For Mayor City of San Antonio,Gary Allen,6
1007,For Mayor City of San Antonio,Michael Samaniego,5
1007,For Mayor City of San Antonio,Diana Flores Uriegas,7
1007,"For Council, City of San Antonio, District 5",Vote,For
1007,"For Council, City of San Antonio, District 5",TOTAL,VOTE
1007,"For Council, City of San Antonio, District 5",Arturo Espinosa,11
1007,"For Council, City of San Antonio, District 5",Teri Castillo,82
1007,"For Council, City of San Antonio, District 5",Rudy Lopez,70
1008,For Mayor City of San Antonio,Vote,For
1008,For Mayor City of San Antonio,TOTAL,VOTE
1008,For Mayor City of San Antonio,Ray Adam Basaldua,1
1008,For Mayor City of San Antonio,Christopher T. Schuchardt,31
